tweet_id,favorites,retweets,user_followers,user_favourites,date_time
830583320585068544,72142,18777,6742842,133084,2017-02-12 01:04:29
830173239259324417,0,6367,6742842,133084,2017-02-10 21:54:58
830097400375152640,10606,3355,6742842,133084,2017-02-10 16:53:37
829878982036299777,0,5597,6742842,133084,2017-02-10 02:25:42
829861396166877184,13205,2188,6742842,133084,2017-02-10 01:15:49
829501995190984704,34241,11824,6742842,133084,2017-02-09 01:27:41
829449946868879360,11307,2269,6742842,133084,2017-02-08 22:00:52
829374341691346946,37408,10400,6742842,133084,2017-02-08 17:00:26
829141528400556032,26475,8276,6742842,133084,2017-02-08 01:35:19
829011960981237760,57191,18102,6742842,133084,2017-02-07 17:00:28
828801551087042563,0,3797,6742842,133084,2017-02-07 03:04:22
828770345708580865,27605,6559,6742842,133084,2017-02-07 01:00:22
828708714936930305,39530,12519,6742843,133084,2017-02-06 20:55:28
828650029636317184,10273,1501,6742843,133084,2017-02-06 17:02:17
828409743546925057,6781,1282,6742843,133084,2017-02-06 01:07:28
828408677031882754,8263,1431,6742843,133084,2017-02-06 01:03:14
828381636999917570,13638,2485,6742843,133084,2017-02-05 23:15:47
828376505180889089,7986,1187,6742843,133084,2017-02-05 22:55:23
828372645993398273,13526,3265,6742843,133084,2017-02-05 22:40:03
828361771580813312,2369,190,6742843,133084,2017-02-05 21:56:51
828046555563323392,12717,3189,6742843,133084,2017-02-05 01:04:17
828011680017821696,11188,2392,6742843,133084,2017-02-04 22:45:42
827933404142436356,21789,5842,6742843,133084,2017-02-04 17:34:40
827653905312006145,16699,3352,6742843,133084,2017-02-03 23:04:02
827600520311402496,8016,1055,6742843,133084,2017-02-03 19:31:54
827324948884643840,17175,3420,6742844,133084,2017-02-03 01:16:53
827199976799354881,11448,2505,6742844,133084,2017-02-02 17:00:17
826958653328592898,23350,5597,6742844,133084,2017-02-02 01:01:21
826848821049180160,39541,11490,6742844,133084,2017-02-01 17:44:55
826615380357632002,0,4406,6742844,133084,2017-02-01 02:17:19
826598799820865537,5538,286,6742844,133084,2017-02-01 01:11:25
826598365270007810,10903,2626,6742844,133084,2017-02-01 01:09:42
826476773533745153,19931,4690,6742844,133084,2017-01-31 17:06:32
826240494070030336,14352,2894,6742624,133085,2017-01-31 01:27:39
826204788643753985,5273,1051,6742844,133084,2017-01-30 23:05:46
826115272272650244,16984,3503,6742844,133084,2017-01-30 17:10:04
825876512159186944,11325,2094,6742844,133084,2017-01-30 01:21:19
825829644528148480,13780,2788,6742844,133084,2017-01-29 22:15:05
825535076884762624,56321,19247,6742844,133084,2017-01-29 02:44:34
825147591692263424,19835,5121,6742844,133084,2017-01-28 01:04:51
825120256414846976,0,1444,6742844,133084,2017-01-27 23:16:13
825026590719483904,6899,1444,6742844,133084,2017-01-27 17:04:02
824796380199809024,0,6145,6742844,133084,2017-01-27 01:49:15
824775126675836928,16228,3952,6742844,133084,2017-01-27 00:24:48
824663926340194305,10916,1945,6742844,133084,2017-01-26 17:02:56
824325613288833024,12778,11614,6742844,133084,2017-01-25 18:38:36
824297048279236611,16294,4329,6742844,133084,2017-01-25 16:45:05
824025158776213504,5171,665,6742844,133084,2017-01-24 22:44:42
823939628516474880,11548,3036,6742844,133084,2017-01-24 17:04:50
